date,ETF,Sector,Close,Volume,return_5d,return_20d
2024-02-06,XLC.US,Communication Services,78.38,6738309,-0.0010206685378922886,0.0007655014034193552
2024-02-07,XLC.US,Communication Services,78.78,5980052,0.00977405432850964,0.01180502665651173
2024-02-08,XLC.US,Communication Services,79.08,4267708,0.014162873039959667,0.00644916540212459
2024-02-09,XLC.US,Communication Services,79.17,7624590,-0.0027788303650372326,0.0034103827207274673
2024-02-12,XLC.US,Communication Services,79.42,4285276,-0.007428859229413276,0.009065726517250017
2024-02-13,XLC.US,Communication Services,78.3,8023889,0.005619412515964317,0.025287356321839205
2024-02-14,XLC.US,Communication Services,79.55,7344739,0.0046511627906977715,0.006788183532369763
2024-02-15,XLC.US,Communication Services,80.2,6672691,-0.0059850374064838174,-0.011346633416458807
2024-02-16,XLC.US,Communication Services,78.95,7036635,-0.0049398353388220295,0.02216592780240667
2024-02-20,XLC.US,Communication Services,78.83,8030654,0.0046936445515666225,0.023341367499682963
2024-02-21,XLC.US,Communication Services,78.74,6142837,-0.0010160020320040264,0.036576073152146504
2024-02-22,XLC.US,Communication Services,79.92,7108752,-0.007007007007007071,0.021646646646646728
2024-02-23,XLC.US,Communication Services,79.72,7327483,0.003763171098845941,0.026342197691921587
2024-02-26,XLC.US,Communication Services,78.56,7872641,0.005218940936863481,0.03793279022403273
2024-02-27,XLC.US,Communication Services,79.2,4502487,-0.010984848484848597,0.027398989898989923
2024-02-28,XLC.US,Communication Services,78.66,3774627,-0.0027968471904398218,0.039791507754894706
2024-02-29,XLC.US,Communication Services,79.36,6774297,0.004410282258064502,0.028981854838709742
2024-03-01,XLC.US,Communication Services,80.02,5828975,-0.005373656585853426,0.02836790802299438
2024-03-04,XLC.US,Communication Services,78.97,7165814,0.005951627200202703,0.04039508674180059
2024-03-05,XLC.US,Communication Services,78.33,7602785,0.02310736627090515,0.05719392314566574
2024-03-06,XLC.US,Communication Services,78.44,6833278,0.023457419683834857,0.041432942376338655
2024-03-07,XLC.US,Communication Services,79.71,6460488,0.004767281395057221,0.03525279136871151
2024-03-08,XLC.US,Communication Services,79.59,8710020,-0.003769317753486545,0.03693931398416894
2024-03-11,XLC.US,Communication Services,79.44,6934299,0.015861027190332333,0.040030211480362565
2024-03-12,XLC.US,Communication Services,80.14,7405144,0.006613426503618625,0.022835038682305964
2024-03-13,XLC.US,Communication Services,80.28,5496615,0.016691579471848517,0.03001993024414551
2024-03-14,XLC.US,Communication Services,80.09,7210349,0.019478087151953982,0.015482582095142972
2024-03-15,XLC.US,Communication Services,79.29,8166298,0.03190818514314531,0.012738050195484796
2024-03-18,XLC.US,Communication Services,80.7,5360650,0.010408921933085624,-0.008302354399008727
2024-03-19,XLC.US,Communication Services,80.67,4777114,0.008677327383165956,-0.008801289202925555
2024-03-20,XLC.US,Communication Services,81.62,4432697,0.0020828228375397995,-0.015559911786326985
2024-03-21,XLC.US,Communication Services,81.65,5377225,0.00012247397428044593,-0.026699326393141543
2024-03-22,XLC.US,Communication Services,81.82,3214375,0.00574431679296028,-0.02737716939623558
2024-03-25,XLC.US,Communication Services,81.54,3732478,0.007603630120186278,-0.00919793966151583
2024-03-26,XLC.US,Communication Services,81.37,5441604,0.017696939904141562,-0.006513457048052174
2024-03-27,XLC.US,Communication Services,81.79,4177785,-0.0012226433549334947,-0.04682724049394804
2024-03-28,XLC.US,Communication Services,81.66,5294736,0.010531471956894523,-0.0189811413176586
2024-04-01,XLC.US,Communication Services,82.29,5290892,0.002916514764855993,-0.0377931704945923
2024-04-02,XLC.US,Communication Services,82.16,5271157,0.005598831548198735,-0.05233690360272636
2024-04-03,XLC.US,Communication Services,82.81,5158099,-0.010143702451394843,-0.051080787344523704
